CCODE,ISO -3 ,Countries,Status,EVI,a,Economic vulnerability index,b,"Share of agriculture, forestry and fisheries",,c,Remoteness and landlockedness,,,d,Export concentration,,e,Export instability,,f,Environmental vulnerability index,g,Share of population living in low elevated coastal zones ,,h,Share of population living in drylands ,,i,Agricultural instability,,j,Victims of disasters (%),,k,HAI,l,Health index,m,Under 5 mortality (per 1000),,n,Prevalence of stunting,,o,"Maternal mortality (per 100,000 live birth)",,p,Education index,q,Lower secondary education completion rate,,r,Adult literacy rate,,s,Gender parity index for lower secondary education completion,,t,GNI per capita ($),u
,,,,,,,,Value,Max-min,,Avg. distance,Adj. value,Max-min,,Value,Max-min,,Value,Max-min,,,,Value,Max-min,,Value,Max-min,,Value,Max-min,,Value,Max-min,,,,,,Value,Max-min,,Value,Max-min,,Value,Max-min,,,,Value,Max-min,,Value,Max-min,,Value,Max-min,,,
262,DJI,Djibouti,LDC,54.7,,46.9,,1.4,0.6,,"4,842",45.9,44.8,,6.5,42.2,,65.9,100,,62.5,,11.1,31.6,,92.9,92.9,,10.9,51,,3.5,74.6,,66.9,,74.3,,51.9,74.6,,18.7,67.6,,234.5,80.8,,59.4,,57.5,52.8,r12,52.8,37.1,s8,0.9,88.3,t11,"3,238",
212,DMA,Dominica,ODC,38.4,,43.9,,19.1,30.6,,"5,574",53.2,53.9,,7.3,55.3,,17.8,35.6,,33,,12.9,36.7,,0,0,,2,2.4,,10,92.9,,90.8,,90.2,,32.2,86.5,,8.5,88,o1,53.9,95.9,,91.4,,87.2,85.8,r13,94,92,s9,1,96.4,r12,"7,825",
214,DOM,Dominican Republic,ODC,24.8,,27.9,,6.3,8.9,,"5,604",53.4,54.3,,6.3,38.1,,5.2,10.4,,21.7,,1.8,5.3,,0,0,,3.4,10.5,,2.9,70.9,,92.4,,90.6,,32.4,86.4,,5.6,93.8,,107.3,91.4,,94.2,,89.7,88.6,,95.5,94,,1.1,100,,"8,119",
218,ECU,Ecuador,ODC,26.4,,33.5,,10,15.2,,"7,445",68.2,72.7,,6.6,42.5,,1.7,3.4,,19.4,,7.2,20.6,,16.8,16.8,,4,13.3,,0.2,27,,89.9,,84.4,,12.2,98.7,,22.7,59.6,,65.7,94.9,,95.3,,95.3,94.8,,93.9,91.9,,1,99.2,,"5,897",
818,EGY,Egypt,ODC,16.3,,13.2,,11.9,18.5,,"2,949",20.1,12.7,,4.6,9.2,,6.3,12.6,,19.3,,16.3,46.7,,22.2,22.2,,2.6,5.8,,0.1,2.6,,84.5,,86.1,,18.1,95.1,,20.4,64.2,,16.8,99,,83,,84.7,82.9,,74.5,66,,1.1,100,,"3,760",
222,SLV,El Salvador,ODC,23.1,,29.8,,5.6,7.7,,"6,870",64,67.5,,6,33.4,,5.3,10.6,,16.5,,0.9,2.5,,0,0,,4.3,15.4,,0.8,48,,89.4,,93.6,,11.9,98.9,,10,85,,42.8,96.8,,85.2,,72.2,69.1,,90,86.6,,1.1,100,,"4,296",
226,GNQ,Equatorial Guinea,ODC,19.3,,34,,2.7,2.9,,"5,177",49.3,49.2,,8.2,69.5,,7.3,14.7,,4.6,,5.7,16.2,,0,0,,1.9,2.2,,0,0,,69.9,,72.3,,73.4,61.6,,16.1,72.8,,212.3,82.7,,67.4,,27.6,19.6,r14,95,93.3,s10,0.9,89.3,t13,"5,768",
232,ERI,Eritrea,LDC,56.4,,47.6,,17.3,27.6,,"4,380",40.7,38.3,,8.5,74.3,,25.2,50.4,,65.1,,15.5,44.2,,99.8,99.8,,9,40.5,,3.8,75.8,,62,,54,,36.6,83.9,,50.2,4.6,,321.6,73.5,,70.1,,47.3,41.4,r2,76.6,68.8,,1,100,t2,609,
748,SWZ,Eswatini,ODC,40.1,,44.1,,8.7,13.1,,"8,111",87.6,97,,6.9,48.8,,8.9,17.7,,36,,0,0,,40.8,40.8,,2.1,3.4,,21.1,100,,74,,72.9,,50,75.7,,21.2,62.6,,239.6,80.4,,75.2,,45.9,39.8,,89.3,85.7,,1.2,100,,"3,518",
231,ETH,Ethiopia,LDC,36.9,,44.1,,38.4,63.4,,"4,941",61.9,64.9,,6.6,43.3,,2.4,4.8,,29.8,,0,0,,24,24,,3.4,10.5,,6.2,84.6,,58.1,,64.1,,46.2,78,,34.4,36.2,,266.7,78.1,,52,,28.3,20.4,,51.8,35.7,s13,1.3,100,,"1,008",
