CCODE,ISO -3 ,Countries,Status,EVI,a,Economic vulnerability index,b,"Share of agriculture, forestry and fisheries",,c,Remoteness and landlockedness,,,d,Export concentration,,e,Export instability,,f,Environmental vulnerability index,g,Share of population living in low elevated coastal zones ,,h,Share of population living in drylands ,,i,Agricultural instability,,j,Victims of disasters (%),,k,HAI,l,Health index,m,Under 5 mortality (per 1000),,n,Prevalence of stunting,,o,"Maternal mortality (per 100,000 live birth)",,p,Education index,q,Lower secondary education completion rate,,r,Adult literacy rate,,s,Gender parity index for lower secondary education completion,,t,GNI per capita ($),u
,,,,,,,,Value,Max-min,,Avg. distance,Adj. value,Max-min,,Value,Max-min,,Value,Max-min,,,,Value,Max-min,,Value,Max-min,,Value,Max-min,,Value,Max-min,,,,,,Value,Max-min,,Value,Max-min,,Value,Max-min,,,,Value,Max-min,,Value,Max-min,,Value,Max-min,,,
,t3,"Source: United Nations Educational, Scientific and Cultural Organisation (UNESCO), Institute for Statistics (UIS), Data Centre, 'Gross intake ratio to the last grade of lower secondary education, both sexes' (available at http://sdg4-data.uis.unesco.org/, accessed 16 Jan 2024). Data refer to 2022.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,t4,"Source: United Nations Educational, Scientific and Cultural Organisation (UNESCO), Institute for Statistics (UIS), Data Centre, 'Gross intake ratio to the last grade of lower secondary education, both sexes' (available at http://sdg4-data.uis.unesco.org/, accessed 16 Jan 2024). Data refer to 2010.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,t5,Data refer to 2017.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,t6,Data refer to 2015.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,t7,Data refer to 2016.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,t8,"Source: United Nations Educational, Scientific and Cultural Organisation (UNESCO), Institute for Statistics (UIS), Data Centre, 'Gross intake ratio to the last grade of lower secondary education, both sexes' (available at http://sdg4-data.uis.unesco.org/, accessed 16 Jan 2024). Data refer to 2020.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,t9,"Source: Global Partnership for Education, Results Report 2022 (available at https://www.globalpartnership.org/content/results-report-2022, accessed 16 Jan 2024). Data refer to 2020.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,t10,"Source: United Nations, Department of Economic and Social Affairs (DESA), CDP Secretariat, calculated based on United Nations Childrens Fund (UNICEF), Global database on completion rate (available at https://data.unicef.org/topic/education/secondary-education/, accessed 16 Jan 2024). Data refer to 2017.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,t11,"Source: Nations Unies Djibouti, Analyse commune pays, Djibouti, Decembre 2021 (available at https://minio.dev.devqube.io/uninfo-production-main/d00b7e7f-fe9d-43b6-a6cc-45b71c803b7d_Djibouti_CCA_official_janvier_2022_final.pdf, accessed 16 Jan 2024). Data refer to 2020.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,t12,"Source: United Nations Educational, Scientific and Cultural Organisation (UNESCO), Institute for Statistics (UIS), Data Centre, 'Gross intake ratio to the last grade of lower secondary education, both sexes' (available at http://sdg4-data.uis.unesco.org/, accessed 16 Jan 2024). Data refer to 2015.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,t13,"Source: United Nations, Department of Economic and Social Affairs (DESA), CDP Secretariat, calculated based on Equipo de Pais de las Naciones Unidas (UNCT), Guinea Equatorial Evaluacion Comun para el Pais (CCA) 2017 (available at https://uninfo.org/location/159/unct-overview, accessed 16 Jan 2024). Data refer to 2015.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,t14,"Source: United Nations Educational, Scientific and Cultural Organisation (UNESCO), Institute for Statistics (UIS), Data Centre, 'Gross intake ratio to the last grade of lower secondary education, both sexes' (available at http://sdg4-data.uis.unesco.org/, accessed 16 Jan 2024). Data refer to 2021.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,t15,"Source: United Nations Educational, Scientific and Cultural Organisation (UNESCO), Institute for Statistics (UIS), Data Centre (available at http://sdg4-data.uis.unesco.org/, accessed 16 Jan 2024). Data refer to 2017.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,t16,"Source: United Nations, Department of Economic and Social Affairs (DESA), CDP Secretariat, calculated based on CEIC, CEIC data, 2024 (available at https://www.ceicdata.com/en/lebanon/education-statistics, accessed 16 Jan 2024). Data refer to 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,t17,"Source: United Nations, Department of Economic and Social Affairs (DESA), CDP Secretariat, calculated based on educational attainment statistics from International Foundation for Electoral Systems (IFES), Libya Status of Woman Survey 2013 (available at https://www.ifes.org/publications/ifes-survey-status-women-libya, accessed 16 Jan 2024). Data refer to 2013.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,t18,"Source: United Nations, Department of Economic and Social Affairs (DESA), CDP Secretariat, based on Republic of the Marshall Islands, Demographic and Health Survey, 2007 (available at https://sdd.spc.int/digital_library/marshall-islands-demographic-and-health-survey-dhs-2007, accessed 16 Jan 2024). Data refer to 2007.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,t19,Data refer to 2018.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,t20,"Source: United Nations Educational, Scientific and Cultural Organisation (UNESCO), Institute for Statistics (UIS), Data Centre (available at http://sdg4-data.uis.unesco.org/, accessed 16 Jan 2024). Data refer to 2014.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,t21,"Source: United Nations Educational, Scientific and Cultural Organisation (UNESCO), Institute for Statistics (UIS), Data Centre (available at http://sdg4-data.uis.unesco.org/, accessed 16 Jan 2024). Data refer to 2019.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,t22,"Source: United Nations Educational, Scientific and Cultural Organisation (UNESCO), Institute for Statistics (UIS), Data Centre, 'Gross intake ratio to the last grade of lower secondary education, both sexes' (available at http://sdg4-data.uis.unesco.org/, accessed 16 Jan 2024). Data refer to 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,t23,"Source: United Nations Educational, Scientific and Cultural Organisation (UNESCO), Institute for Statistics (UIS), Data Centre, 'Gross intake ratio to the last grade of lower secondary education, both sexes' (available at http://sdg4-data.uis.unesco.org/, accessed 16 Jan 2024). Data refer to 2018.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,t24,"Source: United Nations Educational, Scientific and Cultural Organisation (UNESCO), Institute for Statistics (UIS), Data Centre, 'Gross intake ratio to the last grade of lower secondary education, both sexes' (available at http://sdg4-data.uis.unesco.org/, accessed 16 Jan 2024). Data refer to 2011.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,t25,Data refer to 2011.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,t26,"Source: United Nations, Department of Economic and Social Affairs (DESA), CDP Secretariat, calculated based on Government of the Democratic Socialist Republic of Sri Lanka, Inclusive Transformation towards a Sustainably Developed Nation for All, National Review on the Implementation of the 2030 Agenda for Sustainable Development in Sri Lanka, June 2022 (available at https://hlpf.un.org/countries/sri-lanka/voluntary-national-review-2022, accessed 16 Jan 2024). Data refer to 2020.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,t27,"Source: United Nations Educational, Scientific and Cultural Organisation (UNESCO), Institute for Statistics (UIS), Data Centre, 'Gross intake ratio to the last grade of lower secondary education, both sexes' (available at http://sdg4-data.uis.unesco.org/, accessed 16 Jan 2024). Data refer to 2023.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,t28,"Source:  United Nations, Department of Economic and Social Affairs (DESA), CDP Secretariat, calculated based on The Pacific Community, Pacific Data Hub, Thematic (SDG goal 4) indicators on Education (available at https://stats.pacificdata.org/?lc=en, accessed 16 Jan 2024). Data refer to 2020.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,t29,"Source:  United Nations, Department of Economic and Social Affairs (DESA), CDP Secretariat, calculated based on Yemen, Central Statistical Organization, Yemen Multiple Indicators Cluster Survey (MICS) 2022-2023 (available at https://www.unicef.org/yemen/documents/yemen-mics-multiple-indicator-cluster-survey, accessed 16 Jan 2024). Data refer to 2022.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,u,"Source: United Nations, Department of Economic and Social Affairs (DESA), Statistics Division, based on National Accounts Main Aggregates Database, using currency conversion rate based on the World Bank Atlas method and adjusted to calendar year, where applicable, (received 16 January 2024). Data refer to 2020-2022 average.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
